DRA,BioSample,Sample_ID
DRR302759,SAMD00326452,A0339
DRR302760,SAMD00326453,A0340
DRR302761,SAMD00326454,A0341
DRR302762,SAMD00326455,A0342
DRR302763,SAMD00326456,A0343
DRR302764,SAMD00326457,A0344
DRR302765,SAMD00326458,A0345
DRR302766,SAMD00326459,A0346
DRR302767,SAMD00326460,A0347
DRR302768,SAMD00326461,A0348
DRR302769,SAMD00326462,A0349
DRR302770,SAMD00326463,A0350
DRR302771,SAMD00326464,A0351
DRR302772,SAMD00326465,A0352
DRR302773,SAMD00326466,A0353
DRR302774,SAMD00326467,A0354
DRR302775,SAMD00326468,A0355
DRR302776,SAMD00326469,A0356
DRR302777,SAMD00326470,A0357
DRR302778,SAMD00326471,A0358
DRR302779,SAMD00326472,A0359
DRR302780,SAMD00326473,A0360
DRR302781,SAMD00326474,A0361
DRR302782,SAMD00326475,A0362
DRR302783,SAMD00326476,A0363
DRR302784,SAMD00326477,A0364
DRR302785,SAMD00326478,A0365
DRR302786,SAMD00326479,A0366
DRR302787,SAMD00326480,A0367
DRR302788,SAMD00326481,A0368
DRR302789,SAMD00326482,A0369
DRR302790,SAMD00326483,A0370
DRR302791,SAMD00326484,A0371
DRR302792,SAMD00326485,A0372
DRR302793,SAMD00326486,A0373
DRR302794,SAMD00326487,A0374
DRR302795,SAMD00326488,A0375
DRR302796,SAMD00326489,A0376
DRR302797,SAMD00326490,A0377
DRR302798,SAMD00326491,A0378
DRR302799,SAMD00326492,A0379
DRR302800,SAMD00326493,A0380
DRR302801,SAMD00326494,A0381
DRR302802,SAMD00326495,A0382
DRR302803,SAMD00326496,A0383
DRR302804,SAMD00326497,A0384
DRR302805,SAMD00326498,A0385
DRR302806,SAMD00326499,A0386
DRR302807,SAMD00326500,A0387
DRR302808,SAMD00326501,A0388
DRR302809,SAMD00326502,A0389
DRR302810,SAMD00326503,A0390
DRR302811,SAMD00326504,A0391
DRR302812,SAMD00326505,A0392
DRR302813,SAMD00326506,A0393
DRR302814,SAMD00326507,A0394
DRR302815,SAMD00326508,A0395
DRR302816,SAMD00326509,A0396
DRR302817,SAMD00326510,A0397
DRR302818,SAMD00326511,A0398
DRR302819,SAMD00326512,A0399
DRR302820,SAMD00326513,A0400
DRR302821,SAMD00326514,A0401
DRR302822,SAMD00326515,A0402
DRR302823,SAMD00326516,A0403
DRR302824,SAMD00326517,A0404
DRR302825,SAMD00326518,A0405
DRR302826,SAMD00326519,A0406
DRR302827,SAMD00326520,A0407
DRR302828,SAMD00326521,A0408
DRR302829,SAMD00326522,A0409
DRR302830,SAMD00326523,A0410
DRR302831,SAMD00326524,A0411
DRR302832,SAMD00326525,A0412
DRR302833,SAMD00326526,A0413
DRR302834,SAMD00326527,A0414
DRR302835,SAMD00326528,A0415
DRR302836,SAMD00326529,A0416
DRR302837,SAMD00326530,A0417
DRR302838,SAMD00326531,A0418
DRR302839,SAMD00326532,A0419
DRR302840,SAMD00326533,A0420
DRR302841,SAMD00326534,A0421
DRR302842,SAMD00326535,A0422
DRR302843,SAMD00326536,A0423
DRR302844,SAMD00326537,A0424
DRR302845,SAMD00326538,A0425
DRR302846,SAMD00326539,A0426
DRR302847,SAMD00326540,A0427
DRR302848,SAMD00326541,A0428
