ID	YearClass	DayNumber	Current	YearClassStock	FL	Weight	Prefecture
A0507	2019	243 	Tsushima	2019T	78.17	5.91	Nagasaki
A0508	2019	243 	Tsushima	2019T	72.82	4.47	Nagasaki
A0509	2019	243 	Tsushima	2019T	78.46	6.19	Nagasaki
A0510	2019	243 	Tsushima	2019T	73.65	4.34	Nagasaki
A0511	2019	243 	Tsushima	2019T	79.29	5.55	Nagasaki
A0512	2019	243 	Tsushima	2019T	57.06	2.12	Nagasaki
A0513	2019	243 	Tsushima	2019T	72.74	4.43	Nagasaki
A0514	2019	243 	Tsushima	2019T	60.21	2.44	Nagasaki
A0515	2019	243 	Tsushima	2019T	74.23	4.81	Nagasaki
A0516	2019	243 	Tsushima	2019T	61.07	2.29	Nagasaki
A0517	2019	243 	Tsushima	2019T	56.11	1.73	Nagasaki
A0518	2019	244 	Tsushima	2019T	116.66	16.18	Nagasaki
A0519	2019	244 	Tsushima	2019T	117.08	17.06	Nagasaki
A0520	2019	244 	Tsushima	2019T	123.84	21.83	Nagasaki
A0521	2019	244 	Tsushima	2019T	112.69	15.37	Nagasaki
A0522	2019	244 	Tsushima	2019T	105.91	13.43	Nagasaki
A0523	2019	244 	Tsushima	2019T	209.56	123.05	Nagasaki
A0524	2019	244 	Tsushima	2019T	205.48	104.93	Nagasaki
A0525	2019	244 	Tsushima	2019T	206.79	123.11	Nagasaki
A0526	2019	244 	Tsushima	2019T	223.77	146.82	Nagasaki
A0527	2019	244 	Tsushima	2019T	214.53	128.50	Nagasaki
A0528	2019	165 	Tsushima	2019T	26.91	0.26	Yamaguchi
A0529	2019	165 	Tsushima	2019T	24.15	0.17	Yamaguchi
A0530	2019	165 	Tsushima	2019T	27.46	0.28	Yamaguchi
A0532	2019	165 	Tsushima	2019T	28.27	0.30	Yamaguchi
A0533	2019	165 	Tsushima	2019T	47.40	1.38	Yamaguchi
A0534	2019	165 	Tsushima	2019T	48.80	1.52	Yamaguchi
A0535	2019	165 	Tsushima	2019T	39.47	0.81	Yamaguchi
A0536	2019	165 	Tsushima	2019T	45.41	1.14	Yamaguchi
A0537	2019	165 	Tsushima	2019T	49.81	1.88	Yamaguchi
A0538	2019	165 	Tsushima	2019T	41.14	0.84	Yamaguchi
A0539	2019	165 	Tsushima	2019T	36.09	0.62	Yamaguchi
A0540	2019	171 	Tsushima	2019T	38.82	0.75	Yamaguchi
A0541	2019	171 	Tsushima	2019T	41.61	0.90	Yamaguchi
A0542	2019	171 	Tsushima	2019T	40.00	0.82	Yamaguchi
A0543	2019	171 	Tsushima	2019T	48.40	1.51	Yamaguchi
A0544	2019	171 	Tsushima	2019T	44.94	1.15	Yamaguchi
A0545	2019	171 	Tsushima	2019T	49.89	1.52	Yamaguchi
A0546	2019	171 	Tsushima	2019T	43.21	1.21	Yamaguchi
A0547	2019	171 	Tsushima	2019T	51.59	1.78	Yamaguchi
A0548	2019	171 	Tsushima	2019T	55.68	2.46	Yamaguchi
A0549	2019	171 	Tsushima	2019T	49.35	1.70	Yamaguchi
A0550	2019	157 	Tsushima	2019T	40.93	0.80	Yamaguchi
A0551	2019	263 	Kuroshio	2019K	77.41	5.88	Iwate
A0552	2019	263 	Kuroshio	2019K	90.22	9.36	Iwate
A0553	2019	263 	Kuroshio	2019K	86.86	8.34	Iwate
A0554	2019	263 	Kuroshio	2019K	84.20	7.59	Iwate
A0555	2019	263 	Kuroshio	2019K	92.81	10.20	Iwate
A0556	2019	263 	Kuroshio	2019K	88.80	8.92	Iwate
A0557	2019	263 	Kuroshio	2019K	85.21	7.87	Iwate
A0558	2019	263 	Kuroshio	2019K	88.67	8.88	Iwate
A0559	2019	263 	Kuroshio	2019K	89.23	9.05	Iwate
A0560	2019	263 	Kuroshio	2019K	89.81	9.23	Iwate
A0561	2019	263 	Kuroshio	2019K	88.51	8.83	Iwate
A0562	2019	263 	Kuroshio	2019K	82.45	7.12	Iwate
A0563	2019	263 	Kuroshio	2019K	88.44	8.81	Iwate
A0564	2019	263 	Kuroshio	2019K	82.87	7.23	Iwate
A0565	2019	263 	Kuroshio	2019K	87.20	8.44	Iwate
A0566	2019	263 	Kuroshio	2019K	86.13	8.13	Iwate
A0567	2019	263 	Kuroshio	2019K	90.76	9.53	Iwate
A0568	2019	263 	Kuroshio	2019K	97.16	11.72	Iwate
A0569	2019	263 	Kuroshio	2019K	97.65	11.90	Iwate
A0570	2019	263 	Kuroshio	2019K	95.07	10.97	Iwate
A0572	2019	162 	Tsushima	2019T	88.28	7.07	Kumamoto
