Sample,Total_reads,Mapped_reads,Mapped_reads_rate,Primary_mapped_reads,Primary_mapped_reads_rate,Properly_paired_mapped_reads,Properly_paired_mapped_reads_rate
A0491,4184661,4184661,100.00%,4157709,100.00%,4085105,98.25%
A0492,4355343,4355343,100.00%,4328390,100.00%,4255964,98.33%
A0493,4478249,4478249,100.00%,4451180,100.00%,4370868,98.20%
A0494,4175909,4175909,100.00%,4150399,100.00%,4078628,98.27%
A0495,4267803,4267803,100.00%,4241789,100.00%,4168744,98.28%
A0496,4432946,4432946,100.00%,4404592,100.00%,4329056,98.29%
A0497,4671823,4671823,100.00%,4642886,100.00%,4562554,98.27%
A0498,4444228,4444228,100.00%,4383155,100.00%,4235420,96.63%
A0499,4105446,4105446,100.00%,4080405,100.00%,4008946,98.25%
A0500,4272798,4272798,100.00%,4244530,100.00%,4171366,98.28%
A0501,4371906,4371906,100.00%,4344544,100.00%,4268210,98.24%
A0502,4257317,4257317,100.00%,4197151,100.00%,4052458,96.55%
A0503,4124364,4124364,100.00%,4099201,100.00%,4027020,98.24%
A0504,4254135,4254135,100.00%,4226686,100.00%,4152536,98.25%
A0505,4789516,4789516,100.00%,4759956,100.00%,4678667,98.29%
A0506,4379409,4379409,100.00%,4350644,100.00%,4277301,98.31%
A0507,4397649,4397649,100.00%,4369511,100.00%,4293033,98.25%
A0508,4501868,4501868,100.00%,4474980,100.00%,4400155,98.33%
A0509,4661039,4661039,100.00%,4631082,100.00%,4551095,98.27%
A0510,4380926,4380926,100.00%,4352942,100.00%,4281736,98.36%
A0511,4465915,4465915,100.00%,4437528,100.00%,4361213,98.28%
A0512,4593785,4593785,100.00%,4565233,100.00%,4484739,98.24%
A0513,4897146,4897146,100.00%,4865494,100.00%,4779781,98.24%
A0514,4539733,4539733,100.00%,4510013,100.00%,4430477,98.24%
A0515,4376106,4376106,100.00%,4347656,100.00%,4270501,98.23%
A0516,4495786,4495786,100.00%,4468483,100.00%,4392595,98.30%
A0517,4747290,4747290,100.00%,4717982,100.00%,4635726,98.26%
A0518,4307660,4307660,100.00%,4281180,100.00%,4206488,98.26%
A0519,4231007,4231007,100.00%,4204551,100.00%,4130748,98.24%
A0520,4471013,4471013,100.00%,4443481,100.00%,4367422,98.29%
A0521,4672850,4672850,100.00%,4642282,100.00%,4557365,98.17%
A0522,4418526,4418526,100.00%,4389699,100.00%,4310875,98.20%
A0523,4317088,4317088,100.00%,4288318,100.00%,4207715,98.12%
A0524,4680334,4680334,100.00%,4650928,100.00%,4573748,98.34%
A0525,4889370,4889370,100.00%,4859144,100.00%,4773937,98.25%
A0526,4393294,4393294,100.00%,4366923,100.00%,4294269,98.34%
A0527,4294270,4294270,100.00%,4267679,100.00%,4196259,98.33%
A0528,4388799,4388799,100.00%,4359524,100.00%,4278898,98.15%
