file,num_seqs,sum_len
A0132_R1.fastq.gz,2282516,342377400
A0132_R2.fastq.gz,2282516,342377400
A0133_R1.fastq.gz,2368455,355268250
A0133_R2.fastq.gz,2368455,355268250
A0134_R1.fastq.gz,2175525,326328750
A0134_R2.fastq.gz,2175525,326328750
A0135_R1.fastq.gz,2228495,334274250
A0135_R2.fastq.gz,2228495,334274250
A0136_R1.fastq.gz,2263728,339559200
A0136_R2.fastq.gz,2263728,339559200
A0137_R1.fastq.gz,2919849,437977350
A0137_R2.fastq.gz,2919849,437977350
A0138_R1.fastq.gz,2789771,418465650
A0138_R2.fastq.gz,2789771,418465650
A0139_R1.fastq.gz,2693753,404062950
A0139_R2.fastq.gz,2693753,404062950
A0140_R1.fastq.gz,2687161,403074150
A0140_R2.fastq.gz,2687161,403074150
A0141_R1.fastq.gz,2950397,442559550
A0141_R2.fastq.gz,2950397,442559550
A0142_R1.fastq.gz,2658167,398725050
A0142_R2.fastq.gz,2658167,398725050
A0143_R1.fastq.gz,2444340,366651000
A0143_R2.fastq.gz,2444340,366651000
A0144_R1.fastq.gz,2627627,394144050
A0144_R2.fastq.gz,2627627,394144050
A0145_R1.fastq.gz,2559904,383985600
A0145_R2.fastq.gz,2559904,383985600
A0146_R1.fastq.gz,2524185,378627750
A0146_R2.fastq.gz,2524185,378627750
A0147_R1.fastq.gz,2381978,357296700
A0147_R2.fastq.gz,2381978,357296700
A0148_R1.fastq.gz,2434868,365230200
A0148_R2.fastq.gz,2434868,365230200
A0149_R1.fastq.gz,2758758,413813700
A0149_R2.fastq.gz,2758758,413813700
A0150_R1.fastq.gz,2506964,376044600
A0150_R2.fastq.gz,2506964,376044600
A0151_R1.fastq.gz,2405262,360789300
A0151_R2.fastq.gz,2405262,360789300
A0152_R1.fastq.gz,2475366,371304900
A0152_R2.fastq.gz,2475366,371304900
A0153_R1.fastq.gz,2478992,371848800
A0153_R2.fastq.gz,2478992,371848800
A0154_R1.fastq.gz,2687899,403184850
A0154_R2.fastq.gz,2687899,403184850
A0155_R1.fastq.gz,2311202,346680300
A0155_R2.fastq.gz,2311202,346680300
A0156_R1.fastq.gz,2352509,352876350
A0156_R2.fastq.gz,2352509,352876350
A0157_R1.fastq.gz,2441662,366249300
A0157_R2.fastq.gz,2441662,366249300
A0158_R1.fastq.gz,2229277,334391550
A0158_R2.fastq.gz,2229277,334391550
A0159_R1.fastq.gz,2252854,337928100
A0159_R2.fastq.gz,2252854,337928100
A0160_R1.fastq.gz,2383499,357524850
A0160_R2.fastq.gz,2383499,357524850
A0161_R1.fastq.gz,2771017,415652550
A0161_R2.fastq.gz,2771017,415652550
A0162_R1.fastq.gz,2720076,408011400
A0162_R2.fastq.gz,2720076,408011400
A0163_R1.fastq.gz,2404627,360694050
A0163_R2.fastq.gz,2404627,360694050
A0164_R1.fastq.gz,2458466,368769900
A0164_R2.fastq.gz,2458466,368769900
A0165_R1.fastq.gz,2582481,387372150
A0165_R2.fastq.gz,2582481,387372150
A0166_R1.fastq.gz,2404094,360614100
A0166_R2.fastq.gz,2404094,360614100
A0167_R1.fastq.gz,2391827,358774050
A0167_R2.fastq.gz,2391827,358774050
A0168_R1.fastq.gz,2435471,365320650
A0168_R2.fastq.gz,2435471,365320650
A0169_R1.fastq.gz,3003176,450476400
A0169_R2.fastq.gz,3003176,450476400
A0170_R1.fastq.gz,2852371,427855650
A0170_R2.fastq.gz,2852371,427855650
A0171_R1.fastq.gz,2727194,409079100
A0171_R2.fastq.gz,2727194,409079100
A0172_R1.fastq.gz,2601245,390186750
A0172_R2.fastq.gz,2601245,390186750
A0173_R1.fastq.gz,2608963,391344450
A0173_R2.fastq.gz,2608963,391344450
A0174_R1.fastq.gz,2659589,398938350
A0174_R2.fastq.gz,2659589,398938350
A0175_R1.fastq.gz,2530158,379523700
A0175_R2.fastq.gz,2530158,379523700
A0176_R1.fastq.gz,2703800,405570000
A0176_R2.fastq.gz,2703800,405570000
A0177_R1.fastq.gz,3127784,469167600
A0177_R2.fastq.gz,3127784,469167600
A0178_R1.fastq.gz,3060238,459035700
A0178_R2.fastq.gz,3060238,459035700
A0179_R1.fastq.gz,2836112,425416800
A0179_R2.fastq.gz,2836112,425416800
A0180_R1.fastq.gz,2890853,433627950
A0180_R2.fastq.gz,2890853,433627950
A0181_R1.fastq.gz,2978689,446803350
A0181_R2.fastq.gz,2978689,446803350
A0182_R1.fastq.gz,2491517,373727550
A0182_R2.fastq.gz,2491517,373727550
A0183_R1.fastq.gz,2326330,348949500
A0183_R2.fastq.gz,2326330,348949500
A0184_R1.fastq.gz,2612945,391941750
A0184_R2.fastq.gz,2612945,391941750
A0185_R1.fastq.gz,2946756,442013400
A0185_R2.fastq.gz,2946756,442013400
A0186_R1.fastq.gz,2789079,418361850
A0186_R2.fastq.gz,2789079,418361850
A0187_R1.fastq.gz,2553805,383070750
A0187_R2.fastq.gz,2553805,383070750
A0188_R1.fastq.gz,2650878,397631700
A0188_R2.fastq.gz,2650878,397631700
A0189_R1.fastq.gz,2722012,408301800
A0189_R2.fastq.gz,2722012,408301800
A0190_R1.fastq.gz,2365029,354754350
A0190_R2.fastq.gz,2365029,354754350
A0191_R1.fastq.gz,2589868,388480200
A0191_R2.fastq.gz,2589868,388480200
A0192_R1.fastq.gz,2626073,393910950
A0192_R2.fastq.gz,2626073,393910950
A0193_R1.fastq.gz,2527635,379145250
A0193_R2.fastq.gz,2527635,379145250
A0194_R1.fastq.gz,2730545,409581750
A0194_R2.fastq.gz,2730545,409581750
A0195_R1.fastq.gz,2637905,395685750
A0195_R2.fastq.gz,2637905,395685750
A0196_R1.fastq.gz,2754332,413149800
A0196_R2.fastq.gz,2754332,413149800
A0197_R1.fastq.gz,2553425,383013750
A0197_R2.fastq.gz,2553425,383013750
A0198_R1.fastq.gz,2219290,332893500
A0198_R2.fastq.gz,2219290,332893500
A0199_R1.fastq.gz,2760354,414053100
A0199_R2.fastq.gz,2760354,414053100
A0200_R1.fastq.gz,2488939,373340850
A0200_R2.fastq.gz,2488939,373340850
A0201_R1.fastq.gz,2577384,386607600
A0201_R2.fastq.gz,2577384,386607600
A0202_R1.fastq.gz,2648517,397277550
A0202_R2.fastq.gz,2648517,397277550
A0203_R1.fastq.gz,2534044,380106600
A0203_R2.fastq.gz,2534044,380106600
A0204_R1.fastq.gz,2620230,393034500
A0204_R2.fastq.gz,2620230,393034500
A0205_R1.fastq.gz,2518674,377801100
A0205_R2.fastq.gz,2518674,377801100
A0206_R1.fastq.gz,2273894,341084100
A0206_R2.fastq.gz,2273894,341084100
A0207_R1.fastq.gz,2736108,410416200
A0207_R2.fastq.gz,2736108,410416200
A0208_R1.fastq.gz,2453791,368068650
A0208_R2.fastq.gz,2453791,368068650
A0209_R1.fastq.gz,2458307,368746050
A0209_R2.fastq.gz,2458307,368746050
A0210_R1.fastq.gz,2608244,391236600
A0210_R2.fastq.gz,2608244,391236600
A0211_R1.fastq.gz,2565976,384896400
A0211_R2.fastq.gz,2565976,384896400
A0212_R1.fastq.gz,2675991,401398650
A0212_R2.fastq.gz,2675991,401398650
A0213_R1.fastq.gz,2589946,388491900
A0213_R2.fastq.gz,2589946,388491900
A0214_R1.fastq.gz,2608341,391251150
A0214_R2.fastq.gz,2608341,391251150
A0215_R1.fastq.gz,2639964,395994600
A0215_R2.fastq.gz,2639964,395994600
A0216_R1.fastq.gz,2392964,358944600
A0216_R2.fastq.gz,2392964,358944600
A0217_R1.fastq.gz,2586027,387904050
A0217_R2.fastq.gz,2586027,387904050
A0218_R1.fastq.gz,2876494,431474100
A0218_R2.fastq.gz,2876494,431474100
A0219_R1.fastq.gz,2760047,414007050
A0219_R2.fastq.gz,2760047,414007050
A0220_R1.fastq.gz,2898047,434707050
A0220_R2.fastq.gz,2898047,434707050
A0221_R1.fastq.gz,2833101,424965150
A0221_R2.fastq.gz,2833101,424965150
A0222_R1.fastq.gz,2690452,403567800
A0222_R2.fastq.gz,2690452,403567800
A0223_R1.fastq.gz,2891902,433785300
A0223_R2.fastq.gz,2891902,433785300
A0224_R1.fastq.gz,2683882,402582300
A0224_R2.fastq.gz,2683882,402582300
A0225_R1.fastq.gz,2313593,347038950
A0225_R2.fastq.gz,2313593,347038950
A0226_R1.fastq.gz,2653594,398039100
A0226_R2.fastq.gz,2653594,398039100
A0227_R1.fastq.gz,2555208,383281200
A0227_R2.fastq.gz,2555208,383281200
A0228_R1.fastq.gz,2659113,398866950
A0228_R2.fastq.gz,2659113,398866950
A0229_R1.fastq.gz,2552394,382859100
A0229_R2.fastq.gz,2552394,382859100
A0230_R1.fastq.gz,2483820,372573000
A0230_R2.fastq.gz,2483820,372573000
A0231_R1.fastq.gz,2645426,396813900
A0231_R2.fastq.gz,2645426,396813900
A0232_R1.fastq.gz,2490382,373557300
A0232_R2.fastq.gz,2490382,373557300
A0233_R1.fastq.gz,2345816,351872400
A0233_R2.fastq.gz,2345816,351872400
A0234_R1.fastq.gz,2858437,428765550
A0234_R2.fastq.gz,2858437,428765550
A0235_R1.fastq.gz,2836657,425498550
A0235_R2.fastq.gz,2836657,425498550
A0236_R1.fastq.gz,3033968,455095200
A0236_R2.fastq.gz,3033968,455095200
A0237_R1.fastq.gz,2854536,428180400
A0237_R2.fastq.gz,2854536,428180400
A0238_R1.fastq.gz,2858133,428719950
A0238_R2.fastq.gz,2858133,428719950
A0239_R1.fastq.gz,2949830,442474500
A0239_R2.fastq.gz,2949830,442474500
A0240_R1.fastq.gz,2692222,403833300
A0240_R2.fastq.gz,2692222,403833300
A0241_R1.fastq.gz,2473666,371049900
A0241_R2.fastq.gz,2473666,371049900
A0242_R1.fastq.gz,2695624,404343600
A0242_R2.fastq.gz,2695624,404343600
A0243_R1.fastq.gz,2684501,402675150
A0243_R2.fastq.gz,2684501,402675150
A0244_R1.fastq.gz,2817196,422579400
A0244_R2.fastq.gz,2817196,422579400
A0245_R1.fastq.gz,3030595,454589250
A0245_R2.fastq.gz,3030595,454589250
A0246_R1.fastq.gz,2713050,406957500
A0246_R2.fastq.gz,2713050,406957500
A0247_R1.fastq.gz,2911973,436795950
A0247_R2.fastq.gz,2911973,436795950
A0248_R1.fastq.gz,2695439,404315850
A0248_R2.fastq.gz,2695439,404315850
A0249_R1.fastq.gz,2278691,341803650
A0249_R2.fastq.gz,2278691,341803650
A0250_R1.fastq.gz,2557635,383645250
A0250_R2.fastq.gz,2557635,383645250
A0251_R1.fastq.gz,2551462,382719300
A0251_R2.fastq.gz,2551462,382719300
A0252_R1.fastq.gz,2718718,407807700
A0252_R2.fastq.gz,2718718,407807700
A0253_R1.fastq.gz,2573336,386000400
A0253_R2.fastq.gz,2573336,386000400
A0254_R1.fastq.gz,2499807,374971050
A0254_R2.fastq.gz,2499807,374971050
A0255_R1.fastq.gz,2601158,390173700
A0255_R2.fastq.gz,2601158,390173700
A0256_R1.fastq.gz,2417420,362613000
A0256_R2.fastq.gz,2417420,362613000
A0257_R1.fastq.gz,2507575,376136250
A0257_R2.fastq.gz,2507575,376136250
A0258_R1.fastq.gz,2741826,411273900
A0258_R2.fastq.gz,2741826,411273900
A0259_R1.fastq.gz,2715992,407398800
A0259_R2.fastq.gz,2715992,407398800
A0260_R1.fastq.gz,2770457,415568550
A0260_R2.fastq.gz,2770457,415568550
A0261_R1.fastq.gz,2694512,404176800
A0261_R2.fastq.gz,2694512,404176800
A0262_R1.fastq.gz,2660186,399027900
A0262_R2.fastq.gz,2660186,399027900
A0263_R1.fastq.gz,2322502,348375300
A0263_R2.fastq.gz,2322502,348375300
A0264_R1.fastq.gz,2621209,393181350
A0264_R2.fastq.gz,2621209,393181350
A0265_R1.fastq.gz,2693342,404001300
A0265_R2.fastq.gz,2693342,404001300
A0266_R1.fastq.gz,2753482,413022300
A0266_R2.fastq.gz,2753482,413022300
A0267_R1.fastq.gz,2777489,416623350
A0267_R2.fastq.gz,2777489,416623350
A0268_R1.fastq.gz,2873351,431002650
A0268_R2.fastq.gz,2873351,431002650
A0269_R1.fastq.gz,2796875,419531250
A0269_R2.fastq.gz,2796875,419531250
A0270_R1.fastq.gz,2744556,411683400
A0270_R2.fastq.gz,2744556,411683400
A0271_R1.fastq.gz,2842907,426436050
A0271_R2.fastq.gz,2842907,426436050
A0272_R1.fastq.gz,2637775,395666250
A0272_R2.fastq.gz,2637775,395666250
A0273_R1.fastq.gz,2713755,407063250
A0273_R2.fastq.gz,2713755,407063250
A0274_R1.fastq.gz,2910109,436516350
A0274_R2.fastq.gz,2910109,436516350
A0275_R1.fastq.gz,2785620,417843000
A0275_R2.fastq.gz,2785620,417843000
A0276_R1.fastq.gz,2930790,439618500
A0276_R2.fastq.gz,2930790,439618500
A0277_R1.fastq.gz,2840321,426048150
A0277_R2.fastq.gz,2840321,426048150
A0278_R1.fastq.gz,2650273,397540950
A0278_R2.fastq.gz,2650273,397540950
A0279_R1.fastq.gz,2874012,431101800
A0279_R2.fastq.gz,2874012,431101800
A0280_R1.fastq.gz,2635383,395307450
A0280_R2.fastq.gz,2635383,395307450
A0281_R1.fastq.gz,2680589,402088350
A0281_R2.fastq.gz,2680589,402088350
A0282_R1.fastq.gz,2662703,399405450
A0282_R2.fastq.gz,2662703,399405450
A0283_R1.fastq.gz,2638981,395847150
A0283_R2.fastq.gz,2638981,395847150
A0284_R1.fastq.gz,2643084,396462600
A0284_R2.fastq.gz,2643084,396462600
A0285_R1.fastq.gz,2577868,386680200
A0285_R2.fastq.gz,2577868,386680200
A0286_R1.fastq.gz,2524413,378661950
A0286_R2.fastq.gz,2524413,378661950
A0287_R1.fastq.gz,2769910,415486500
A0287_R2.fastq.gz,2769910,415486500
A0288_R1.fastq.gz,2460291,369043650
A0288_R2.fastq.gz,2460291,369043650
A0289_R1.fastq.gz,2772681,415902150
A0289_R2.fastq.gz,2772681,415902150
A0290_R1.fastq.gz,2642190,396328500
A0290_R2.fastq.gz,2642190,396328500
A0291_R1.fastq.gz,2527965,379194750
A0291_R2.fastq.gz,2527965,379194750
A0292_R1.fastq.gz,2394936,359240400
A0292_R2.fastq.gz,2394936,359240400
