ID	YearClass	SamplingDayNumber	Current	YearClassStock	FL	Weight	Prefecture	Age	BirthDay	BirthMonth	BirthMonth2019Start
A0279	2019	134	Tsushima	T2019	38.76	0.7	Shimane	45	89	3	3
A0280	2019	134	Tsushima	T2019	43.48	1.02	Shimane	50	84	3	3
A0281	2019	134	Tsushima	T2019	38.99	0.47	Shimane	45	89	3	3
A0282	2019	134	Tsushima	T2019	47.89	1.35	Shimane	54	80	3	3
A0283	2019	134	Tsushima	T2019	39.77	0.67	Shimane	46	88	3	3
A0284	2019	134	Tsushima	T2019	26.85	0.25	Shimane	34	100	4	4
A0285	2019	134	Tsushima	T2019	37.61	0.73	Shimane	44	90	3	3
A0286	2019	134	Tsushima	T2019	26.67	0.24	Shimane	34	100	4	4
A0287	2019	134	Tsushima	T2019	24.51	0.19	Shimane	32	102	4	4
A0289	2019	134	Tsushima	T2019	35.45	0.58	Shimane	42	92	4	4
A0290	2019	134	Tsushima	T2019	22.54	0.15	Shimane	30	104	4	4
A0291	2019	134	Tsushima	T2019	37.68	0.73	Shimane	44	90	3	3
A0292	2019	134	Tsushima	T2019	23.22	0.16	Shimane	31	103	4	4
A0293	2019	134	Tsushima	T2019	25.45	0.21	Shimane	33	101	4	4
A0294	2019	134	Tsushima	T2019	27.86	0.27	Shimane	35	99	4	4
A0295	2019	134	Tsushima	T2019	42.67	0.91	Shimane	49	85	3	3
A0296	2019	134	Tsushima	T2019	37.88	0.63	Shimane	44	90	3	3
A0297	2019	136	Tsushima	T2019	24.63	0.18	Shimane	32	104	4	4
A0298	2019	136	Tsushima	T2019	27.53	0.29	Shimane	35	101	4	4
A0299	2019	136	Tsushima	T2019	22.33	0.14	Shimane	30	106	4	4
A0300	2019	136	Tsushima	T2019	23.62	0.15	Shimane	31	105	4	4
A0301	2019	136	Tsushima	T2019	22.75	0.18	Shimane	30	106	4	4
A0302	2019	136	Tsushima	T2019	19.6	0.1	Shimane	28	108	4	4
A0303	2019	136	Tsushima	T2019	27.36	0.28	Shimane	35	101	4	4
A0304	2019	136	Tsushima	T2019	23.89	0.2	Shimane	31	105	4	4
A0305	2019	136	Tsushima	T2019	25.57	0.27	Shimane	33	103	4	4
A0306	2019	136	Tsushima	T2019	28.4	0.23	Shimane	36	100	4	4
A0307	2019	136	Tsushima	T2019	25.35	0.19	Shimane	33	103	4	4
A0308	2019	136	Tsushima	T2019	25.32	0.18	Shimane	33	103	4	4
A0309	2019	136	Tsushima	T2019	29.38	0.31	Shimane	36	100	4	4
A0310	2019	136	Tsushima	T2019	27.3	0.28	Shimane	35	101	4	4
A0311	2019	136	Tsushima	T2019	31.9	0.4	Shimane	39	97	4	4
A0312	2019	136	Tsushima	T2019	31.06	0.41	Shimane	38	98	4	4
A0313	2019	136	Tsushima	T2019	25.7	0.23	Shimane	33	103	4	4
A0314	2019	136	Tsushima	T2019	34.53	0.49	Shimane	41	95	4	4
A0315	2019	136	Tsushima	T2019	30.39	0.36	Shimane	37	99	4	4
A0316	2019	136	Tsushima	T2019	29.06	0.3	Shimane	36	100	4	4
A0317	2019	136	Tsushima	T2019	30.5	0.33	Shimane	37	99	4	4
A0318	2019	136	Tsushima	T2019	30.19	0.35	Shimane	37	99	4	4
A0319	2019	136	Tsushima	T2019	23.32	0.16	Shimane	31	105	4	4
A0320	2019	136	Tsushima	T2019	30.89	0.38	Shimane	38	98	4	4
A0321	2019	136	Tsushima	T2019	31.95	0.48	Shimane	39	97	4	4
A0322	2019	136	Tsushima	T2019	35.5	0.52	Shimane	42	94	4	4
A0323	2019	136	Tsushima	T2019	35.1	0.53	Shimane	42	94	4	4
A0324	2019	136	Tsushima	T2019	33.35	0.44	Shimane	40	96	4	4
A0325	2019	136	Tsushima	T2019	34.97	0.57	Shimane	42	94	4	4
A0326	2019	136	Tsushima	T2019	33.71	0.47	Shimane	40	96	4	4
A0327	2019	136	Tsushima	T2019	48.72	1.52	Shimane	55	81	3	3
A0328	2019	136	Tsushima	T2019	39.67	0.93	Shimane	46	90	3	3
A0329	2019	136	Tsushima	T2019	55.96	2.21	Shimane	62	74	3	3
A0330	2019	136	Tsushima	T2019	55.77	2.2	Shimane	62	74	3	3
A0331	2019	136	Tsushima	T2019	39.68	0.75	Shimane	46	90	3	3
A0332	2019	136	Tsushima	T2019	43.42	1.01	Shimane	50	86	3	3
A0333	2019	136	Tsushima	T2019	55	2.11	Shimane	61	75	3	3
A0334	2019	136	Tsushima	T2019	49.46	1.58	Shimane	56	80	3	3
A0335	2019	136	Tsushima	T2019	34.56	0.49	Shimane	41	95	4	4
A0336	2019	136	Tsushima	T2019	49.26	1.38	Shimane	56	80	3	3
A0337	2019	154	Tsushima	T2019	20.21	0.11	Shimane	28	126	5	5
A0338	2019	154	Tsushima	T2019	22.89	0.18	Shimane	31	123	5	5
A0339	2019	154	Tsushima	T2019	20.67	0.15	Shimane	29	125	5	5
A0340	2019	235	Kuroshio	K2019	124.9	27.15	Ehime	146	89	3	3
A0341	2019	235	Kuroshio	K2019	118.3	24.16	Ehime	136	99	4	4
A0342	2019	235	Kuroshio	K2019	116	19.53	Ehime	133	102	4	4
A0343	2019	235	Kuroshio	K2019	127.36	27.11	Ehime	149	86	3	3
A0344	2019	235	Kuroshio	K2019	120.85	22.67	Ehime	140	95	4	4
A0345	2019	235	Kuroshio	K2019	119.39	23.81	Ehime	138	97	4	4
A0346	2019	235	Kuroshio	K2019	117.05	20.76	Ehime	134	101	4	4
A0347	2019	235	Kuroshio	K2019	113.22	20.27	Ehime	129	106	4	4
A0348	2019	235	Kuroshio	K2019	121.05	24.34	Ehime	140	95	4	4
A0349	2019	235	Kuroshio	K2019	107.71	18.6	Ehime	122	113	4	4
A0350	2019	235	Kuroshio	K2019	127.29	31.93	Ehime	149	86	3	3
A0351	2019	235	Kuroshio	K2019	120.13	22.71	Ehime	139	96	4	4
A0352	2019	235	Kuroshio	K2019	121.7	25.17	Ehime	141	94	4	4
A0353	2019	235	Kuroshio	K2019	113.36	20.37	Ehime	129	106	4	4
A0354	2019	235	Kuroshio	K2019	111.46	20.59	Ehime	127	108	4	4
A0355	2019	235	Kuroshio	K2019	114.89	22.38	Ehime	132	103	4	4
A0356	2019	235	Kuroshio	K2019	116.34	21.23	Ehime	134	101	4	4
A0357	2019	235	Kuroshio	K2019	113.87	20.32	Ehime	130	105	4	4
A0358	2019	235	Kuroshio	K2019	124.91	26.36	Ehime	146	89	3	3
A0359	2019	235	Kuroshio	K2019	137.82	36.83	Ehime	165	70	3	3
A0360	2019	198	Kuroshio	K2019	140.44	34.38	Ibaraki	169	29	1	1
A0361	2019	198	Kuroshio	K2019	151.31	41.96	Ibaraki	187	11	1	1
A0362	2019	198	Kuroshio	K2019	144.64	33.26	Ibaraki	176	22	1	1
A0363	2019	198	Kuroshio	K2019	125.37	22.03	Ibaraki	146	52	2	2
A0364	2019	198	Kuroshio	K2019	140.36	36.05	Ibaraki	169	29	1	1
A0365	2019	198	Kuroshio	K2019	135.6	29.34	Ibaraki	161	37	2	2
A0366	2019	198	Kuroshio	K2019	131.64	27.23	Ibaraki	155	43	2	2
A0367	2019	198	Kuroshio	K2019	133.75	28.53	Ibaraki	159	39	2	2
A0368	2019	198	Kuroshio	K2019	135.6	31.23	Ibaraki	161	37	2	2
A0369	2019	198	Kuroshio	K2019	137.12	31.24	Ibaraki	164	34	2	2
A0370	2019	198	Kuroshio	K2019	149.95	43.11	Ibaraki	184	14	1	1
A0371	2019	198	Kuroshio	K2019	117.55	18.99	Ibaraki	135	63	3	3
A0372	2019	198	Kuroshio	K2019	140.86	33.1	Ibaraki	170	28	1	1
A0373	2019	198	Kuroshio	K2019	147.15	37.44	Ibaraki	180	18	1	1
A0374	2019	198	Kuroshio	K2019	151.31	41.34	Ibaraki	187	11	1	1
A0375	2019	198	Kuroshio	K2019	137.57	30.6	Ibaraki	164	34	2	2
A0376	2019	198	Kuroshio	K2019	137.43	30.19	Ibaraki	164	34	2	2
A0377	2019	198	Kuroshio	K2019	140.18	30.65	Ibaraki	169	29	1	1
A0378	2019	198	Kuroshio	K2019	140.54	30.38	Ibaraki	169	29	1	1
A0379	2019	198	Kuroshio	K2019	135.94	29.35	Ibaraki	162	36	2	2
A0380	2019	239	Kuroshio	K2019	127.23	28.34	Oita	149	90	4	4
A0381	2019	239	Kuroshio	K2019	118.23	19.47	Oita	136	103	4	4
A0382	2019	239	Kuroshio	K2019	115.65	18.73	Oita	133	106	4	4
A0383	2019	239	Kuroshio	K2019	116.89	22.6	Oita	134	105	4	4
A0385	2019	239	Kuroshio	K2019	120.57	24.34	Oita	139	100	4	4
A0386	2019	239	Kuroshio	K2019	119.01	25.3	Oita	137	102	4	4
A0387	2019	239	Kuroshio	K2019	131.75	31.58	Oita	156	83	3	3
A0388	2019	239	Kuroshio	K2019	114.25	21.94	Oita	131	108	4	4
A0389	2019	239	Kuroshio	K2019	105.93	15.78	Oita	120	119	4	4
A0390	2019	251	Kuroshio	K2019	90.4	10.07	Oita	100	151	5	5
A0391	2019	251	Kuroshio	K2019	105.18	14.43	Oita	119	132	5	5
A0392	2019	251	Kuroshio	K2019	92.25	10.22	Oita	103	148	5	5
A0393	2019	251	Kuroshio	K2019	81.95	6.37	Oita	90	161	6	6
A0394	2019	251	Kuroshio	K2019	109.63	17.67	Oita	125	126	5	5
A0395	2019	251	Kuroshio	K2019	118.32	20.78	Oita	136	115	4	4
A0396	2019	251	Kuroshio	K2019	96.81	10.79	Oita	108	143	5	5
A0397	2019	251	Kuroshio	K2019	91.72	9.49	Oita	102	149	5	5
A0398	2019	251	Kuroshio	K2019	92.56	10.61	Oita	103	148	5	5
A0399	2019	251	Kuroshio	K2019	112.87	17.35	Oita	129	122	5	5
A0400	2019	239	Kuroshio	K2019	136.36	27.52	Kochi	163	76	3	3
A0401	2019	239	Kuroshio	K2019	130.65	28.21	Kochi	154	85	3	3
A0402	2019	239	Kuroshio	K2019	136.96	36.11	Kochi	163	76	3	3
A0403	2019	239	Kuroshio	K2019	133.45	29.29	Kochi	158	81	3	3
A0404	2019	239	Kuroshio	K2019	129.99	25.81	Kochi	153	86	3	3
A0405	2019	239	Kuroshio	K2019	127.17	26.25	Kochi	149	90	4	4
A0406	2019	239	Kuroshio	K2019	133.05	30.16	Kochi	158	81	3	3
A0407	2019	239	Kuroshio	K2019	134.4	30.32	Kochi	160	79	3	3
A0408	2019	239	Kuroshio	K2019	134.91	32.99	Kochi	160	79	3	3
A0409	2019	239	Kuroshio	K2019	127.14	25.19	Kochi	149	90	4	4
A0410	2019	239	Kuroshio	K2019	122.67	22.85	Kochi	142	97	4	4
A0411	2019	239	Kuroshio	K2019	125.83	23.71	Kochi	147	92	4	4
A0412	2019	239	Kuroshio	K2019	133.79	30.71	Kochi	159	80	3	3
A0413	2019	239	Kuroshio	K2019	129.23	31.21	Kochi	152	87	3	3
A0414	2019	239	Kuroshio	K2019	136.59	29.68	Kochi	163	76	3	3
A0415	2019	239	Kuroshio	K2019	128.66	28.02	Kochi	151	88	3	3
A0416	2019	239	Kuroshio	K2019	133.82	31.46	Kochi	159	80	3	3
A0417	2019	239	Kuroshio	K2019	128.65	25.74	Kochi	151	88	3	3
A0418	2019	239	Kuroshio	K2019	121.78	24.53	Kochi	141	98	4	4
A0419	2019	239	Kuroshio	K2019	136.38	32.42	Kochi	163	76	3	3
A0420	2019	246	Kuroshio	K2019	70.77	5.12	Toyama	78	168	6	6
A0421	2019	246	Kuroshio	K2019	69.59	4.44	Toyama	77	169	6	6
A0422	2019	246	Kuroshio	K2019	84.18	7.56	Toyama	93	153	6	6
A0423	2019	246	Kuroshio	K2019	79.28	6.52	Toyama	87	159	6	6
A0424	2019	246	Kuroshio	K2019	74.71	4.72	Toyama	82	164	6	6
A0425	2019	246	Kuroshio	K2019	70.91	4.02	Toyama	78	168	6	6
A0426	2019	246	Kuroshio	K2019	65.53	3.57	Toyama	72	174	6	6
A0427	2019	246	Kuroshio	K2019	69.51	4.27	Toyama	77	169	6	6
A0428	2019	246	Kuroshio	K2019	72.15	4.48	Toyama	79	167	6	6
A0429	2019	246	Kuroshio	K2019	68.02	3.28	Toyama	75	171	6	6
A0430	2019	246	Kuroshio	K2019	81.4	7.06	Toyama	90	156	6	6
A0431	2019	246	Kuroshio	K2019	72.35	5.02	Toyama	80	166	6	6
A0432	2019	246	Kuroshio	K2019	70.15	4.3	Toyama	77	169	6	6
A0433	2019	246	Kuroshio	K2019	61.88	2.91	Toyama	68	178	6	6
A0434	2019	246	Kuroshio	K2019	75.48	4.32	Toyama	83	163	6	6
A0435	2019	246	Kuroshio	K2019	71.18	4.81	Toyama	78	168	6	6
A0436	2019	246	Kuroshio	K2019	69.64	4.06	Toyama	77	169	6	6
A0437	2019	246	Kuroshio	K2019	69.15	4.57	Toyama	76	170	6	6
A0438	2019	246	Kuroshio	K2019	75.35	5.34	Toyama	83	163	6	6
A0439	2019	246	Kuroshio	K2019	67.94	4.35	Toyama	75	171	6	6
A0440	2019	246	Kuroshio	K2019	73.23	5.65	Toyama	81	165	6	6
A0441	2019	246	Kuroshio	K2019	67.63	4.12	Toyama	75	171	6	6
A0442	2019	246	Kuroshio	K2019	64.09	3.27	Toyama	71	175	6	6
A0443	2019	246	Kuroshio	K2019	69.42	3.43	Toyama	76	170	6	6
A0444	2019	246	Kuroshio	K2019	77.34	5.76	Toyama	85	161	6	6
A0445	2019	246	Kuroshio	K2019	70.63	4.25	Toyama	78	168	6	6
A0446	2019	246	Kuroshio	K2019	79.87	6.91	Toyama	88	158	6	6
A0447	2019	246	Kuroshio	K2019	84.59	7.54	Toyama	94	152	6	6
A0448	2019	246	Kuroshio	K2019	84.44	7.4	Toyama	93	153	6	6
A0449	2019	246	Kuroshio	K2019	73.33	4.18	Toyama	81	165	6	6
A0450	2019	246	Kuroshio	K2019	74.56	5.81	Toyama	82	164	6	6
A0451	2019	246	Kuroshio	K2019	62.26	2.83	Toyama	69	177	6	6
A0452	2019	246	Kuroshio	K2019	81.3	6.97	Toyama	90	156	6	6
A0453	2019	246	Kuroshio	K2019	75.63	5.61	Toyama	83	163	6	6
A0454	2019	246	Kuroshio	K2019	68.51	3.81	Toyama	75	171	6	6
A0455	2019	246	Kuroshio	K2019	68.61	4.08	Toyama	76	170	6	6
A0456	2019	246	Kuroshio	K2019	77.62	5.87	Toyama	86	160	6	6
A0457	2019	246	Kuroshio	K2019	69.63	3.96	Toyama	77	169	6	6
A0458	2019	246	Kuroshio	K2019	69.2	4.4	Toyama	76	170	6	6
A0460	2019	246	Kuroshio	K2019	69.64	3.92	Toyama	77	169	6	6
A0461	2019	235	Kuroshio	K2019	161.18	47.6	Miyagi	204	31	1	1
A0462	2019	235	Kuroshio	K2019	155.28	48.01	Miyagi	194	41	2	2
A0463	2019	235	Kuroshio	K2019	147.12	40.7	Miyagi	180	55	2	2
A0464	2019	235	Kuroshio	K2019	162.27	55.6	Miyagi	206	29	1	1
A0465	2019	235	Kuroshio	K2019	149.11	39.48	Miyagi	183	52	2	2
A0466	2019	254	Tsushima	T2019	81.15	6.23	Akita	90	164	6	6
A0467	2019	254	Tsushima	T2019	83.73	6.84	Akita	93	161	6	6
A0468	2019	269	Kuroshio	K2019	57.15	2.08	Miyagi	64	205	7	7
A0469	2019	269	Kuroshio	K2019	58	2.15	Miyagi	64	205	7	7
A0470	2019	269	Kuroshio	K2019	85.92	8.4	Miyagi	95	174	6	6
A0471	2019	269	Kuroshio	K2019	94.82	11.01	Miyagi	106	163	6	6
A0472	2019	269	Kuroshio	K2019	95.87	11.1	Miyagi	107	162	6	6
A0473	2019	269	Kuroshio	K2019	139.25	35.45	Miyagi	167	102	4	4
A0474	2019	269	Kuroshio	K2019	121.29	24.23	Miyagi	140	129	5	5
A0475	2019	269	Kuroshio	K2019	104.39	15	Miyagi	118	151	6	6
A0476	2019	269	Kuroshio	K2019	102.99	14.68	Miyagi	116	153	6	6
A0477	2019	247	Tsushima	T2019	82.54	6.64	Nagasaki	91	156	6	6
A0478	2019	244	Tsushima	T2019	129.2	26.42	Nagasaki	152	92	4	4
A0479	2019	244	Tsushima	T2019	138.03	31.46	Nagasaki	165	79	3	3
A0480	2019	165	Tsushima	T2019	41.76	0.95	Yamaguchi	48	117	4	4
A0481	2019	244	Tsushima	T2019	113.7	15.93	Nagasaki	130	114	4	4
A0482	2019	244	Tsushima	T2019	117.64	17.8	Nagasaki	135	109	4	4
A0483	2019	244	Tsushima	T2019	215.61	130.42	Nagasaki	331	-87	10	-3
A0484	2019	244	Tsushima	T2019	204.82	112.58	Nagasaki	300	-56	11	-2
A0485	2019	244	Tsushima	T2019	209.62	125.21	Nagasaki	313	-69	10	-3
A0486	2019	244	Tsushima	T2019	201.73	111.38	Nagasaki	292	-48	11	-2
A0487	2019	244	Tsushima	T2019	210.4	110.02	Nagasaki	315	-71	10	-3
A0488	2019	243	Tsushima	T2019	184.12	83.5	Nagasaki	250	-7	12	-1
A0489	2019	243	Tsushima	T2019	190.44	93.01	Nagasaki	264	-21	12	-1
A0490	2019	243	Tsushima	T2019	184.92	89.03	Nagasaki	252	-9	12	-1
A0491	2019	243	Tsushima	T2019	170.52	67.28	Nagasaki	222	21	1	1
A0492	2019	243	Tsushima	T2019	186.95	88.57	Nagasaki	256	-13	12	-1
A0493	2019	243	Tsushima	T2019	188.85	92.05	Nagasaki	260	-17	12	-1
A0494	2019	243	Tsushima	T2019	187.05	91.08	Nagasaki	256	-13	12	-1
A0495	2019	243	Tsushima	T2019	191.56	100.14	Nagasaki	267	-24	12	-1
A0496	2019	243	Tsushima	T2019	183.02	87.25	Nagasaki	247	-4	12	-1
A0497	2019	243	Tsushima	T2019	188.74	94.72	Nagasaki	260	-17	12	-1
A0499	2019	243	Tsushima	T2019	82.95	6.3	Nagasaki	92	151	6	6
A0500	2019	243	Tsushima	T2019	76.43	4.73	Nagasaki	84	159	6	6
A0501	2019	243	Tsushima	T2019	69.76	3.91	Nagasaki	77	166	6	6
A0503	2019	243	Tsushima	T2019	74.61	4.32	Nagasaki	82	161	6	6
A0504	2019	243	Tsushima	T2019	75.46	5	Nagasaki	83	160	6	6
A0505	2019	243	Tsushima	T2019	73.25	4.18	Nagasaki	81	162	6	6
A0506	2019	243	Tsushima	T2019	75.99	5.27	Nagasaki	84	159	6	6
A0507	2019	243	Tsushima	T2019	78.17	5.91	Nagasaki	86	157	6	6
A0508	2019	243	Tsushima	T2019	72.82	4.47	Nagasaki	80	163	6	6
A0509	2019	243	Tsushima	T2019	78.46	6.19	Nagasaki	86	157	6	6
A0510	2019	243	Tsushima	T2019	73.65	4.34	Nagasaki	81	162	6	6
A0511	2019	243	Tsushima	T2019	79.29	5.55	Nagasaki	87	156	6	6
A0512	2019	243	Tsushima	T2019	57.06	2.12	Nagasaki	63	180	6	6
A0513	2019	243	Tsushima	T2019	72.74	4.43	Nagasaki	80	163	6	6
A0514	2019	243	Tsushima	T2019	60.21	2.44	Nagasaki	67	176	6	6
A0515	2019	243	Tsushima	T2019	74.23	4.81	Nagasaki	82	161	6	6
A0516	2019	243	Tsushima	T2019	61.07	2.29	Nagasaki	68	175	6	6
A0517	2019	243	Tsushima	T2019	56.11	1.73	Nagasaki	62	181	6	6
A0518	2019	244	Tsushima	T2019	116.66	16.18	Nagasaki	134	110	4	4
A0519	2019	244	Tsushima	T2019	117.08	17.06	Nagasaki	135	109	4	4
A0520	2019	244	Tsushima	T2019	123.84	21.83	Nagasaki	144	100	4	4
A0521	2019	244	Tsushima	T2019	112.69	15.37	Nagasaki	129	115	4	4
A0522	2019	244	Tsushima	T2019	105.91	13.43	Nagasaki	120	124	5	5
A0523	2019	244	Tsushima	T2019	209.56	123.05	Nagasaki	313	-69	10	-3
A0524	2019	244	Tsushima	T2019	205.48	104.93	Nagasaki	302	-58	11	-2
A0525	2019	244	Tsushima	T2019	206.79	123.11	Nagasaki	305	-61	10	-3
A0526	2019	244	Tsushima	T2019	223.77	146.82	Nagasaki	357	-113	9	-4
A0527	2019	244	Tsushima	T2019	214.53	128.5	Nagasaki	327	-83	10	-3
A0528	2019	165	Tsushima	T2019	26.91	0.26	Yamaguchi	34	131	5	5
A0529	2019	165	Tsushima	T2019	24.15	0.17	Yamaguchi	32	133	5	5
A0530	2019	165	Tsushima	T2019	27.46	0.28	Yamaguchi	35	130	5	5
A0532	2019	165	Tsushima	T2019	28.27	0.3	Yamaguchi	35	130	5	5
A0533	2019	165	Tsushima	T2019	47.4	1.38	Yamaguchi	54	111	4	4
A0534	2019	165	Tsushima	T2019	48.8	1.52	Yamaguchi	55	110	4	4
A0535	2019	165	Tsushima	T2019	39.47	0.81	Yamaguchi	46	119	4	4
A0536	2019	165	Tsushima	T2019	45.41	1.14	Yamaguchi	52	113	4	4
A0537	2019	165	Tsushima	T2019	49.81	1.88	Yamaguchi	56	109	4	4
A0538	2019	165	Tsushima	T2019	41.14	0.84	Yamaguchi	48	117	4	4
A0539	2019	165	Tsushima	T2019	36.09	0.62	Yamaguchi	43	122	5	5
A0540	2019	171	Tsushima	T2019	38.82	0.75	Yamaguchi	45	126	5	5
A0541	2019	171	Tsushima	T2019	41.61	0.9	Yamaguchi	48	123	5	5
A0542	2019	171	Tsushima	T2019	40	0.82	Yamaguchi	46	125	5	5
A0543	2019	171	Tsushima	T2019	48.4	1.51	Yamaguchi	55	116	4	4
A0544	2019	171	Tsushima	T2019	44.94	1.15	Yamaguchi	51	120	4	4
A0545	2019	171	Tsushima	T2019	49.89	1.52	Yamaguchi	56	115	4	4
A0546	2019	171	Tsushima	T2019	43.21	1.21	Yamaguchi	50	121	5	5
A0547	2019	171	Tsushima	T2019	51.59	1.78	Yamaguchi	58	113	4	4
A0548	2019	171	Tsushima	T2019	55.68	2.46	Yamaguchi	62	109	4	4
A0549	2019	171	Tsushima	T2019	49.35	1.7	Yamaguchi	56	115	4	4
A0550	2019	157	Tsushima	T2019	40.93	0.8	Yamaguchi	47	110	4	4
A0551	2019	263	Kuroshio	K2019	77.41	5.88	Iwate	85	178	6	6
A0552	2019	263	Kuroshio	K2019	90.22	9.36	Iwate	100	163	6	6
A0553	2019	263	Kuroshio	K2019	86.86	8.34	Iwate	96	167	6	6
A0554	2019	263	Kuroshio	K2019	84.2	7.59	Iwate	93	170	6	6
A0555	2019	263	Kuroshio	K2019	92.81	10.2	Iwate	103	160	6	6
A0556	2019	263	Kuroshio	K2019	88.8	8.92	Iwate	98	165	6	6
